5,6466,6707,7216,6750,7198
10,6938,7068,6952,6986,6615
15,6765,6211,6788,6757,6691
20,6569,6634,6671,6660,6701
25,6347,6477,6391,6295,6409
30,6112,6107,6137,6194,5931
35,5844,4140,5941,5753,5911
40,4456,5807,1857,5656,5595
45,3050,4149,5503,5490,5518
